,id,text,entities
0,249,A cybersquatting domain save-russia[.]today is launching DoS attacks on Ukrainian news sites.,"[{'end_offset': 16, 'id': 44656, 'label': 'attack-pattern', 'start_offset': 2}, {'end_offset': 43, 'id': 44657, 'label': 'url', 'start_offset': 24}, {'end_offset': 68, 'id': 44658, 'label': 'attack-pattern', 'start_offset': 57}, {'end_offset': 92, 'id': 44659, 'label': 'identity', 'start_offset': 72}]"
1,14309,"Like the Android Maikspy, it first sends a notification to its C&C server to register the device.","[{'end_offset': 17, 'id': 48530, 'label': 'SOFTWARE', 'start_offset': 9}, {'end_offset': 24, 'id': 48531, 'label': 'malware', 'start_offset': 17}, {'end_offset': 73, 'id': 48532, 'label': 'Infrastucture', 'start_offset': 63}]"
2,13996,"While analyzing the technical details of this malware, which includes two new espionage backdoors, we noticed striking similarities to other malware attributed to the threat actor known as APT37, also known as Reaper or Group 123.","[{'end_offset': 194, 'id': 48781, 'label': 'threat-actor', 'start_offset': 188}, {'end_offset': 217, 'id': 48782, 'label': 'threat-actor', 'start_offset': 210}, {'end_offset': 229, 'id': 48783, 'label': 'threat-actor', 'start_offset': 220}]"
3,13600,"(Note that Flash has been declared end-of-life by Adobe since December 31, 2020.)  If the victim downloads and executes the installer downloaded from this page, the victim will be infected with a variant of Gh0stRat malware, previously also named Gh0stCringe or CineregRAT.","[{'end_offset': 79, 'id': 51687, 'label': 'TIME', 'start_offset': 62}, {'end_offset': 215, 'id': 51688, 'label': 'malware', 'start_offset': 207}, {'end_offset': 258, 'id': 51689, 'label': 'malware', 'start_offset': 247}, {'end_offset': 272, 'id': 51690, 'label': 'malware', 'start_offset': 262}]"
4,14364,Figure 21. Connection of Maikspy variants to 107[.]180[.]46[.]243 and hxxp://fakeomegle[.]com  Figure 22. Connection of Maikspy variants to 198[.]12[.]149[.]13and hxxp://miakhalifagame[.]com/,"[{'end_offset': 191, 'id': 51779, 'label': 'URL', 'start_offset': 163}, {'end_offset': 93, 'id': 51777, 'label': 'URL', 'start_offset': 70}, {'end_offset': 127, 'id': 51781, 'label': 'malware', 'start_offset': 120}, {'end_offset': 159, 'id': 51778, 'label': 'IPV4', 'start_offset': 140}, {'end_offset': 32, 'id': 51780, 'label': 'malware', 'start_offset': 25}, {'end_offset': 65, 'id': 44372, 'label': 'IPV4', 'start_offset': 45}]"
5,13565,The source code of this framework is shared across many Chinese public forums.,"[{'end_offset': 63, 'id': 51646, 'label': 'location', 'start_offset': 56}, {'end_offset': 33, 'id': 51647, 'label': 'tools', 'start_offset': 24}]"
6,2400,"The CVE-2022-22965 vulnerability allows an attacker unauthenticated remote code execution (RCE), which Unit 42 has observed being exploited in the wild.","[{'end_offset': 18, 'id': 45495, 'label': 'vulnerability', 'start_offset': 4}, {'end_offset': 89, 'id': 45496, 'label': 'attack-pattern', 'start_offset': 52}, {'end_offset': 110, 'id': 45497, 'label': 'identity', 'start_offset': 103}]"
7,14126,"At the same time, we were able to locate the Mattermost server hosted in Greece, and that gave us the current time zone of the Mattermost server.","[{'end_offset': 79, 'id': 48192, 'label': 'location', 'start_offset': 73}, {'end_offset': 144, 'id': 48191, 'label': 'Infrastucture', 'start_offset': 127}, {'end_offset': 62, 'id': 48193, 'label': 'Infrastucture', 'start_offset': 45}]"
8,1929,"But this link is further fortified by the Android applications we found whose code is like that of Bahamut, with the C&C matching the usual name registration pattern of Patchwork’s group, as well as an infrastructure close to an old Patchwork domain.","[{'end_offset': 49, 'id': 45181, 'label': 'SOFTWARE', 'start_offset': 42}, {'end_offset': 178, 'id': 45183, 'label': 'threat-actor', 'start_offset': 169}, {'end_offset': 242, 'id': 45184, 'label': 'threat-actor', 'start_offset': 233}, {'end_offset': 106, 'id': 45182, 'label': 'malware', 'start_offset': 99}]"
9,1921," A malicious RTF file that exploits the CVE-2017-8750 and drops a malicious VB backdoor with C&C appswonder[.]info A malicious InPage file that exploits CVE-2017-12824 and drops two files, one non-malicious, and one malicious VB backdoor with C&C referfile[.]com  Talos recently reported both C&C domain names with one type of campaign that targets iOS and involves MDM, and another type using VB and Delphi backdoors.","[{'end_offset': 53, 'id': 47039, 'label': 'vulnerability', 'start_offset': 40}, {'end_offset': 262, 'id': 47042, 'label': 'url', 'start_offset': 247}, {'end_offset': 269, 'id': 47043, 'label': 'identity', 'start_offset': 264}, {'end_offset': 352, 'id': 47044, 'label': 'SOFTWARE', 'start_offset': 349}, {'end_offset': 16, 'id': 47045, 'label': 'malware', 'start_offset': 3}, {'end_offset': 167, 'id': 47040, 'label': 'vulnerability', 'start_offset': 153}, {'end_offset': 114, 'id': 47041, 'label': 'url', 'start_offset': 97}]"
10,4577,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'end_offset': 270, 'id': 50428, 'label': 'tools', 'start_offset': 257}, {'end_offset': 78, 'id': 50424, 'label': 'identity', 'start_offset': 71}, {'end_offset': 90, 'id': 50425, 'label': 'threat-actor', 'start_offset': 82}, {'end_offset': 219, 'id': 50427, 'label': 'SOFTWARE', 'start_offset': 204}, {'end_offset': 27, 'id': 50423, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 175, 'id': 50426, 'label': 'identity', 'start_offset': 136}]"
11,5230,We named these malicious apps AnubisSpy (ANDROIDOS_ANUBISSPY) as all the malware’s payload is a package called watchdog.,"[{'end_offset': 119, 'id': 51263, 'label': 'malware', 'start_offset': 111}, {'end_offset': 60, 'id': 51262, 'label': 'malware', 'start_offset': 41}, {'end_offset': 39, 'id': 16073, 'label': 'malware', 'start_offset': 30}]"
12,3788,"At the time, we found ChessMaster targeting different sectors from the academe to media and government agencies in Japan.","[{'end_offset': 33, 'id': 49628, 'label': 'campaign', 'start_offset': 22}, {'end_offset': 111, 'id': 49629, 'label': 'identity', 'start_offset': 71}, {'end_offset': 120, 'id': 49630, 'label': 'location', 'start_offset': 115}]"
13,3833,Base64 encoded ANEL downloaded by Koadic ANEL will send the infected environment’s information to the C&C server.,"[{'end_offset': 19, 'id': 49689, 'label': 'malware', 'start_offset': 15}, {'end_offset': 40, 'id': 49690, 'label': 'malware', 'start_offset': 34}, {'end_offset': 45, 'id': 49691, 'label': 'malware', 'start_offset': 41}, {'end_offset': 112, 'id': 49692, 'label': 'Infrastucture', 'start_offset': 102}]"
14,4830,Recently observed COLDRIVER indicators: In another campaign tracked by CERT-UA as UAC-0056 we observed compromised email addresses of a Regional Prosecutor’s office of Ukraine leveraged to send malicious Microsoft Excel documents with VBA macros delivering Cobalt Strike.,"[{'end_offset': 78, 'id': 50783, 'label': 'identity', 'start_offset': 71}, {'end_offset': 219, 'id': 50785, 'label': 'SOFTWARE', 'start_offset': 204}, {'end_offset': 270, 'id': 50786, 'label': 'tools', 'start_offset': 257}, {'end_offset': 175, 'id': 50784, 'label': 'identity', 'start_offset': 136}, {'end_offset': 27, 'id': 14710, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 90, 'id': 14713, 'label': 'threat-actor', 'start_offset': 82}]"
15,4626,"As part of TAG's mission to counter serious threats to Google and our users, we've analyzed a range of persistent threats including APT35 and Charming Kitten, an Iranian government-backed group that regularly targets high risk users.","[{'end_offset': 61, 'id': 50537, 'label': 'identity', 'start_offset': 55}, {'end_offset': 137, 'id': 50538, 'label': 'threat-actor', 'start_offset': 132}, {'end_offset': 157, 'id': 50539, 'label': 'threat-actor', 'start_offset': 142}, {'end_offset': 169, 'id': 50540, 'label': 'location', 'start_offset': 162}, {'end_offset': 14, 'id': 50536, 'label': 'identity', 'start_offset': 11}]"
16,3392,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  36e3fcd6a4c7c9db985be77ea6394b2ed019332fdae4739df2f96a541ea52617  Silverlight.exe,"[{'end_offset': 11, 'id': 10242, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10243, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49045, 'label': 'malware', 'start_offset': 20}, {'end_offset': 127, 'id': 49046, 'label': 'FILEPATH', 'start_offset': 112}]"
17,4497,"The actors behind this campaign, which we attributed to a government-backed entity based in North Korea, have employed a number of means to target researchers.","[{'end_offset': 31, 'id': 50299, 'label': 'campaign', 'start_offset': 23}, {'end_offset': 103, 'id': 50300, 'label': 'location', 'start_offset': 92}]"
18,3748," CVE-2022-22954, a remote code execution (RCE) vulnerability due to server-side template injection in VMware Workspace ONE Access and Identity Manager, is trivial to exploit with a single HTTP request to a vulnerable device.","[{'end_offset': 46, 'id': 49573, 'label': 'attack-pattern', 'start_offset': 19}, {'end_offset': 98, 'id': 49574, 'label': 'attack-pattern', 'start_offset': 68}, {'end_offset': 15, 'id': 49572, 'label': 'vulnerability', 'start_offset': 1}, {'end_offset': 150, 'id': 49575, 'label': 'SOFTWARE', 'start_offset': 102}]"
19,3661,"MITRE also identifies different main targets for each group: While Carbanak focuses on banking institutions, FIN7 targets food, hospitality, and retail establishments.","[{'end_offset': 75, 'id': 49437, 'label': 'threat-actor', 'start_offset': 67}, {'end_offset': 113, 'id': 49438, 'label': 'threat-actor', 'start_offset': 109}, {'end_offset': 5, 'id': 49436, 'label': 'identity', 'start_offset': 0}, {'end_offset': 107, 'id': 49439, 'label': 'identity', 'start_offset': 87}, {'end_offset': 166, 'id': 49440, 'label': 'identity', 'start_offset': 122}]"
20,3173,"What makes BIOPASS RAT particularly interesting is that it can sniff its victim’s screen by abusing the framework of Open Broadcaster Software (OBS) Studio, a popular live streaming and video recording app, to establish live streaming to a cloud service via Real-Time Messaging Protocol (RTMP).","[{'end_offset': 22, 'id': 48296, 'label': 'malware', 'start_offset': 11}, {'end_offset': 293, 'id': 48298, 'label': 'SOFTWARE', 'start_offset': 258}, {'end_offset': 148, 'id': 48297, 'label': 'SOFTWARE', 'start_offset': 117}]"
21,1569," Bad Rabbit is a ransomware attack that, at the time of this writing, appears to primarily be affecting countries in Eastern Europe.","[{'end_offset': 11, 'id': 45059, 'label': 'malware', 'start_offset': 1}, {'end_offset': 131, 'id': 45060, 'label': 'location', 'start_offset': 117}]"
22,3384,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  3195c355aa564ea66b4b37baa9547cb53dde7cf4ae7010256db92fff0bde873d  flash.exe,"[{'end_offset': 11, 'id': 10232, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10233, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49035, 'label': 'malware', 'start_offset': 20}, {'end_offset': 121, 'id': 49036, 'label': 'FILEPATH', 'start_offset': 112}]"
23,2027,"While the obfuscation and execution may differ between the two, both samples contain very similar core functionality, due to the author copying the leaked Babuk/Babyk source code in order to develop the HelloXD ransomware (Figure 7).","[{'end_offset': 210, 'id': 47122, 'label': 'malware', 'start_offset': 203}, {'end_offset': 166, 'id': 47121, 'label': 'malware', 'start_offset': 161}, {'end_offset': 160, 'id': 47120, 'label': 'malware', 'start_offset': 155}]"
24,13472,"We continue to see attacks from groups like Charming Kitten on medical and healthcare professionals, including World Health Organization (WHO) employees.","[{'end_offset': 59, 'id': 51544, 'label': 'threat-actor', 'start_offset': 44}, {'end_offset': 142, 'id': 51545, 'label': 'identity', 'start_offset': 111}]"
25,3436,"This post is also available in:      日本語 (Japanese)  On May 4, 2022, F5 released a security advisory for a remote code execution vulnerability in the iControlREST component of its BIG-IP product tracked in CVE-2022-1388.","[{'end_offset': 219, 'id': 49195, 'label': 'vulnerability', 'start_offset': 206}, {'end_offset': 142, 'id': 49196, 'label': 'vulnerability', 'start_offset': 107}, {'end_offset': 67, 'id': 49193, 'label': 'TIME', 'start_offset': 53}, {'end_offset': 71, 'id': 49194, 'label': 'identity', 'start_offset': 69}, {'end_offset': 162, 'id': 49197, 'label': 'tools', 'start_offset': 150}]"
26,2597,"This initial focus has led to speculation that Lapsus$ Group may be Brazilian, although we understand the choice of targets to have been influenced by extended team members rather than the team leadership.","[{'end_offset': 54, 'id': 47788, 'label': 'threat-actor', 'start_offset': 47}, {'end_offset': 77, 'id': 47789, 'label': 'location', 'start_offset': 68}]"
27,4585,"In March 2021, Microsoft kicked off the patch cycle early after releasing an advisory regarding the mass exploitation of four zero-days vulnerabilities by a Chinese Hacking group, HAFNIUM, on the on-premises versions of the Microsoft Exchange Server.","[{'end_offset': 13, 'id': 50436, 'label': 'TIME', 'start_offset': 3}, {'end_offset': 24, 'id': 50437, 'label': 'identity', 'start_offset': 15}, {'end_offset': 151, 'id': 50438, 'label': 'vulnerability', 'start_offset': 126}, {'end_offset': 187, 'id': 50439, 'label': 'threat-actor', 'start_offset': 180}, {'end_offset': 164, 'id': 50440, 'label': 'location', 'start_offset': 157}, {'end_offset': 249, 'id': 50441, 'label': 'SOFTWARE', 'start_offset': 196}]"
28,1712,In this case a legitimate service (Tor) was being abused by CryptoWall so it could avoid having its C2 servers shut down.,"[{'end_offset': 70, 'id': 5086, 'label': 'malware', 'start_offset': 60}, {'end_offset': 38, 'id': 5085, 'label': 'tools', 'start_offset': 35}]"
29,5060,"Recently observed COLDRIVER credential phishing domains: Ghostwriter, a Belarusian threat actor, recently introduced a new capability into their credential phishing campaigns.","[{'end_offset': 82, 'id': 51165, 'label': 'location', 'start_offset': 72}, {'end_offset': 174, 'id': 51166, 'label': 'campaign', 'start_offset': 145}, {'end_offset': 27, 'id': 15621, 'label': 'threat-actor', 'start_offset': 18}, {'end_offset': 68, 'id': 15623, 'label': 'threat-actor', 'start_offset': 57}]"
30,4823,"Ghostwriter/UNC1151, a threat actor attributed to Belarus, has remained active targeting accounts of webmail and social media networks of Polish users.","[{'end_offset': 11, 'id': 50766, 'label': 'threat-actor', 'start_offset': 0}, {'end_offset': 19, 'id': 50767, 'label': 'threat-actor', 'start_offset': 12}, {'end_offset': 57, 'id': 50768, 'label': 'location', 'start_offset': 50}]"
31,1819,Additional tools and components were copied to the compromised machine using AnyDeskMSI to scan the local network and disable security products.,"[{'end_offset': 87, 'id': 46934, 'label': 'tools', 'start_offset': 77}, {'end_offset': 113, 'id': 46936, 'label': 'attack-pattern', 'start_offset': 91}, {'end_offset': 143, 'id': 46937, 'label': 'attack-pattern', 'start_offset': 118}]"
32,3400,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  7f4e02a041ca7cfbdc79b96a890822fd7c37be67b1f6c9e07596e6aec57ccdc0  Silverlight.exe,"[{'end_offset': 11, 'id': 10263, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10264, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49064, 'label': 'malware', 'start_offset': 20}, {'end_offset': 127, 'id': 49065, 'label': 'FILEPATH', 'start_offset': 112}]"
33,3719,"In both Carbanak and FIN7 attacks, communication with users’ compromised systems is done through bypassing firewalls or network detection systems via commonly used ports, using connection proxies to avoid direct connections to the threat group’s infrastructure, employing the command-and-control channel to remotely copy files from an external system, blending in with existing network traffic by using standard application layer protocol, and taking advantage of standard cryptographic protocol to disguise command-and-control traffic.","[{'end_offset': 16, 'id': 49518, 'label': 'threat-actor', 'start_offset': 8}, {'end_offset': 25, 'id': 49519, 'label': 'threat-actor', 'start_offset': 21}, {'end_offset': 116, 'id': 49520, 'label': 'attack-pattern', 'start_offset': 97}, {'end_offset': 195, 'id': 49521, 'label': 'attack-pattern', 'start_offset': 171}, {'end_offset': 393, 'id': 49522, 'label': 'attack-pattern', 'start_offset': 352}]"
34,1708, Last year we highlighted two malware families on this blog: CryptoWall 2.0 and Dyreza/Dyre.,"[{'end_offset': 75, 'id': 46883, 'label': 'malware', 'start_offset': 61}, {'end_offset': 86, 'id': 46884, 'label': 'malware', 'start_offset': 80}, {'end_offset': 91, 'id': 46885, 'label': 'malware', 'start_offset': 87}]"
35,4587," The vulnerability has been dubbed as ProxyLogon by the researchers at DEVCORE, who are credited with finding the bugs in the proxy architecture and the logon mechanism of Exchange.","[{'end_offset': 180, 'id': 50446, 'label': 'SOFTWARE', 'start_offset': 172}, {'end_offset': 48, 'id': 50444, 'label': 'vulnerability', 'start_offset': 38}, {'end_offset': 78, 'id': 50445, 'label': 'identity', 'start_offset': 71}]"
36,106,"Similarly, DarkSide operators used Mega client for exfiltrating files to cloud storage, 7-Zip for archiving, and PuTTY application for network file transfers.","[{'end_offset': 29, 'id': 45834, 'label': 'threat-actor', 'start_offset': 11}, {'end_offset': 46, 'id': 45835, 'label': 'tools', 'start_offset': 35}, {'end_offset': 93, 'id': 45836, 'label': 'tools', 'start_offset': 88}, {'end_offset': 118, 'id': 45837, 'label': 'tools', 'start_offset': 113}]"
37,3410,BIOPASS RAT Loader  Backdoor.Win64.BIOPASS.A  ba44c22a3224c3a201202b69d86df2a78f0cd1d4ac1119eb29cae33f09027a9a  Silverlight2.exe,"[{'end_offset': 11, 'id': 10289, 'label': 'malware', 'start_offset': 0}, {'end_offset': 110, 'id': 10290, 'label': 'hash', 'start_offset': 46}, {'end_offset': 44, 'id': 49090, 'label': 'malware', 'start_offset': 20}, {'end_offset': 128, 'id': 49091, 'label': 'FILEPATH', 'start_offset': 112}]"
